visual_key	slot	image_id	planned_src	priority	brief	recommended_source_type	must_be_local	can_be_symbolic	capture_priority	rights_mode	first_action	notes
textile_machines_industry	01	textile-machines-industry-01	/assets/event-visuals/textile-machines-industry-01.webp	high	Textilmaschinen & Industriekultur: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Spinnerei, Weberei, Maschinen, TextilWerk-Führungen und Industriekultur. Muss enthalten: Maschinen-/Weberei-/Spinnerei-Bezug | TextilWerk- oder Industriekultur-Anmutung | starke Materialität. Vermeiden: Theater- oder Konzertbild nur wegen Location | sterile Technikaufnahme | erkennbare Personen im Fokus.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	high	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für textile_machines_industry und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
textile_exhibition_design	01	textile-exhibition-design-01	/assets/event-visuals/textile-exhibition-design-01.webp	medium	Textil, Stoff & Design-Ausstellung: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Textile Ausstellungen, Stoffe, Design, Materialität und kuratierte Textilobjekte. Muss enthalten: Stoffe oder textile Objekte | Ausstellungs- oder Designcharakter | ruhige Premium-Komposition. Vermeiden: beliebige Deko | geschützte Kunst prominent | Modekatalog-Look.	own_context_photo_or_ai_symbolic_contextual	preferred	yes	medium	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für textile_exhibition_design und prüfe es vor ready-Markierung im echten Card-Kontext.	Kontext soll hochwertig und plausibel wirken; keine Marken, Plakate oder geschützten Werke.
art_exhibition_gallery	01	art-exhibition-gallery-01	/assets/event-visuals/art-exhibition-gallery-01.webp	medium	Kunst, Galerie & Kreativausstellung: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Kunstausstellungen, Galerieatmosphäre, Kreativausstellungen und Kunstmärkte. Muss enthalten: Galerie- oder Ausstellungssituation | Kunst-/Kreativbezug | keine geschützten Werke im Fokus. Vermeiden: lesbare Labels | berühmte Kunstwerke | sterile leere Wand.	own_context_photo_or_ai_symbolic_contextual	preferred	yes	medium	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für art_exhibition_gallery und prüfe es vor ready-Markierung im echten Card-Kontext.	Kontext soll hochwertig und plausibel wirken; keine Marken, Plakate oder geschützten Werke.
classical_music	01	classical-music-01	/assets/event-visuals/classical-music-01.webp	high	Klassik, Chor & Orgel: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Orgel, Chor, Kammermusik, Kirche, Noten und ruhige Konzertatmosphäre. Muss enthalten: Orgel, Chor, Noten, Kirche oder Kammermusikbezug | ruhige Konzertatmosphäre | hochwertiges Licht. Vermeiden: Rockbühne | laute Partyoptik | erkennbare Musiker im Fokus.	ai_generated_symbolic_or_self_created_detail	no	yes	high	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für classical_music und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
theater_stage	01	theater-stage-01	/assets/event-visuals/theater-stage-01.webp	high	Theater & Bühne: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Theaterbühne, Vorhang, Schauspiel, Bühnenraum und szenische Atmosphäre. Muss enthalten: Vorhang, Bühne, Licht oder Schauspielkontext | Theateratmosphäre | keine konkreten Inszenierungsrechte. Vermeiden: Comedy-Mikrofon als Hauptmotiv | erkennbare Schauspieler | Plakatoptik.	ai_generated_symbolic_or_self_created_detail	no	yes	high	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für theater_stage und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
comedy_cabaret	01	comedy-cabaret-01	/assets/event-visuals/comedy-cabaret-01.webp	medium	Comedy & Kabarett: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Kleinkunst, Stand-up, Kabarett, Mikrofon und kleine Bühnenatmosphäre. Muss enthalten: Mikrofon, kleine Bühne oder Kabarettkontext | abendliche Kleinkunststimmung | keine Person im Fokus. Vermeiden: Theaterdrama | billige Partyoptik | lesbare Programmplakate.	ai_generated_symbolic_or_self_created_detail	no	yes	medium	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für comedy_cabaret und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
film_screening	01	film-screening-01	/assets/event-visuals/film-screening-01.webp	low	Film & Kino: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Leinwand, Kinosaal, Filmabend und ruhige Vorführatmosphäre. Muss enthalten: Leinwand, Projektion, Kinosaal oder Filmabendkontext | keine Filmrechte im Bild | ruhiges Licht. Vermeiden: erkennbare Filmszenen | Poster | Netflix-/Markenlogos.	ai_generated_symbolic_or_self_created_detail	no	yes	low	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für film_screening und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
literature_reading_talk	01	literature-reading-talk-01	/assets/event-visuals/literature-reading-talk-01.webp	medium	Lesung, Literatur & Gespräch: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Bücher, Lesung, Vortrag, Mikrofon, Gespräch und Literaturatmosphäre. Muss enthalten: Bücher, Lesepult, Mikrofon oder Gesprächssituation | ruhige Kulturatmosphäre | keine lesbaren Buchcover. Vermeiden: beliebiges Bücherregal | erkennbare Autor:innen | Textwände.	ai_generated_symbolic_or_self_created_detail	no	yes	medium	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für literature_reading_talk und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
kids_stage_story	01	kids-stage-story-01	/assets/event-visuals/kids-stage-story-01.webp	medium	Kinderbühne & Geschichten: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Kindertheater, Puppenspiel, Kinderoper, Vorlesen und Story-Formate ohne erkennbare Kinder. Muss enthalten: Puppenspiel-/Kinderbühnen-/Vorlese-Kontext | kindgerecht ohne kindisch zu wirken | keine erkennbaren Kinder. Vermeiden: Kinderfaces | Cartoon-/Spielzeuglizenzfiguren | chaotische Kitaoptik.	ai_generated_symbolic_or_self_created_detail	no	yes	medium	ai_generated_self_created_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für kids_stage_story und prüfe es vor ready-Markierung im echten Card-Kontext.	Symbolisches Premiumbild ist zulässig; keine erkennbare Person, kein Logo, keine Schrift.
open_air_festival	01	open-air-festival-01	/assets/event-visuals/open-air-festival-01.webp	medium	Open-Air-Festival & Außenbühne: erstes V3.1-Basisvisual für diesen Visual Key. Bildwelt: Aasee-Festival, Kulturtage, Festivalgelände, Außenbühnen und große sommerliche Eventstimmung. Muss enthalten: Außenbühne, Gelände, Licht oder Festivalatmosphäre | Weite und Luftigkeit | keine erkennbaren Acts. Vermeiden: reines Konzertdetail ohne Festivalgefühl | Massenszenen | Markenbühnen.	own_local_photo_or_ai_symbolic_local_detail	preferred	limited	medium	own_photo_ai_generated_or_explicitly_cleared	Erzeuge ein 16:9-Premium-Card-Asset für open_air_festival und prüfe es vor ready-Markierung im echten Card-Kontext.	Lokale Plausibilität ist wichtig; keine falsche konkrete Bocholt-Ortsbehauptung.
