phase	phase_label	phase_priority	production_round	recommended_batch_size	visual_key	visual_label	slot	image_id	planned_src	asset_status	target_count	ready_count_before_phase2	remaining_need_before_phase2	image_class	priority	locality_requirement	subject_focus	slot_brief	must_have	avoid	people_policy	variant_rule	first_action
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	01	city-festival-01	/assets/event-visuals/city-festival-01.webp	usable	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Breites, card-taugliches Hauptmotiv mit klarer Bildwelt und ruhiger Premium-Komposition. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	01	city-festival-street-01	/assets/event-visuals/city-festival-street-01.webp	planned	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Breites, card-taugliches Hauptmotiv mit klarer Bildwelt und ruhiger Premium-Komposition. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	02	city-festival-street-02	/assets/event-visuals/city-festival-street-02.webp	planned	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Detailorientierte Variante mit Materialität, Vordergrundfokus und weichem Kontext im Hintergrund. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	03	city-festival-street-03	/assets/event-visuals/city-festival-street-03.webp	planned	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Atmosphärische Kontextvariante mit lokaler oder regional plausibler Umgebung, ohne konkrete falsche Ortsbehauptung. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	04	city-festival-street-04	/assets/event-visuals/city-festival-street-04.webp	planned	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Ruhige Fallback-Variante mit stärkerer Flächenwirkung, geeignet für viele Events dieses Visual Keys. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	city_festival_street	Stadtfest & Innenstadtaktion	05	city-festival-street-05	/assets/event-visuals/city-festival-street-05.webp	planned	7	1	6	local_sensitive_detail	high	Lokale oder regional plausible Atmosphäre bevorzugen; keine falsche konkrete Bocholt-Ortsbehauptung erzeugen.	Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Stadtfest & Innenstadtaktion: Lebendigere Variante mit Eventgefühl, aber ohne erkennbare Personen, Logos, Plakate oder lesbare Schrift. Inhaltlicher Fokus: Innenstadtaktion, Stadtfest, Lichtersonntag, verkaufsoffene Sonntage und offene Stadtmomente	Innenstadt-/Straßen-/Stadtfestgefühl | breite Card-Wirkung | lokal plausible Materialien	Großstadt-Skyline | Kirmes-Fahrgeschäfte | lesbare Plakate	Personen vermeiden oder nur anonym/angeschnitten zeigen; keine identifizierbaren Gesichter.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	live_music_stage	Live-Musik & Bühne	01	music-stage-01	/assets/event-visuals/music-stage-01.webp	usable	7	1	6	symbolic_editorial	high	Symbolisches Premiumbild ist zulässig; keine konkrete Orts- oder Eventdokumentation behaupten.	Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Live-Musik & Bühne: Breites, card-taugliches Hauptmotiv mit klarer Bildwelt und ruhiger Premium-Komposition. Inhaltlicher Fokus: Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Bühne, Mikrofon, Instrument oder Licht | Live-Musik-Kontext | keine erkennbaren Künstler	Disco-/Clubklischee | Bandlogos | Festivalposter	Keine erkennbaren Performer, Sportler oder Einzelpersonen; anonyme Silhouetten oder Details bevorzugen.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	live_music_stage	Live-Musik & Bühne	01	live-music-stage-01	/assets/event-visuals/live-music-stage-01.webp	planned	7	1	6	symbolic_editorial	high	Symbolisches Premiumbild ist zulässig; keine konkrete Orts- oder Eventdokumentation behaupten.	Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Live-Musik & Bühne: Breites, card-taugliches Hauptmotiv mit klarer Bildwelt und ruhiger Premium-Komposition. Inhaltlicher Fokus: Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Bühne, Mikrofon, Instrument oder Licht | Live-Musik-Kontext | keine erkennbaren Künstler	Disco-/Clubklischee | Bandlogos | Festivalposter	Keine erkennbaren Performer, Sportler oder Einzelpersonen; anonyme Silhouetten oder Details bevorzugen.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	live_music_stage	Live-Musik & Bühne	02	live-music-stage-02	/assets/event-visuals/live-music-stage-02.webp	planned	7	1	6	symbolic_editorial	high	Symbolisches Premiumbild ist zulässig; keine konkrete Orts- oder Eventdokumentation behaupten.	Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Live-Musik & Bühne: Detailorientierte Variante mit Materialität, Vordergrundfokus und weichem Kontext im Hintergrund. Inhaltlicher Fokus: Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Bühne, Mikrofon, Instrument oder Licht | Live-Musik-Kontext | keine erkennbaren Künstler	Disco-/Clubklischee | Bandlogos | Festivalposter	Keine erkennbaren Performer, Sportler oder Einzelpersonen; anonyme Silhouetten oder Details bevorzugen.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
2	Pool-Diversifizierung: sichtbare Varianten je Visual Key bis target_count	p1_high_volume	round_01_first_variants	3	live_music_stage	Live-Musik & Bühne	03	live-music-stage-03	/assets/event-visuals/live-music-stage-03.webp	planned	7	1	6	symbolic_editorial	high	Symbolisches Premiumbild ist zulässig; keine konkrete Orts- oder Eventdokumentation behaupten.	Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Live-Musik & Bühne: Atmosphärische Kontextvariante mit lokaler oder regional plausibler Umgebung, ohne konkrete falsche Ortsbehauptung. Inhaltlicher Fokus: Band, Open-Air-Konzert, Mikrofon, Bühnenlicht, Live-Musik und Konzertatmosphäre	Bühne, Mikrofon, Instrument oder Licht | Live-Musik-Kontext | keine erkennbaren Künstler	Disco-/Clubklischee | Bandlogos | Festivalposter	Keine erkennbaren Performer, Sportler oder Einzelpersonen; anonyme Silhouetten oder Details bevorzugen.	Muss sichtbar verschieden vom Pilotbild und von bestehenden ready-Bildern desselben Visual Keys sein; keine Near-Duplicates.	Im Bildchat Pilotbild als Stilanker verwenden und nur die nächste kontrollierte Variantenrunde erzeugen.
