phase	phase_label	priority	visual_key	visual_label	slot	image_id	planned_src	asset_status	source_recommendation	rights_requirement	local_context	mood	brief	must_have	avoid	action_note
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	city_festival	Stadtfest & Innenstadtleben	01	city-festival-01	/assets/event-visuals/city-festival-01.webp	planned	eigene Bocholt-Fotos | cleared local photos | Wikimedia/Commons nur mit sauberer Lizenz	owned_or_cleared_required_before_ready	Bocholter Innenstadt, Plätze, Fußgängerzone, Stadtaktionen, Feste	offen, freundlich, städtisch, einladend, lokal	Bocholter oder ähnlich kleinstädtische Fußgängerzone mit Event-/Fest-Atmosphäre.	Stadt-/Eventgefühl | breite Szene | nicht zu leer	generische Großstadt-Skyline | Kirmes-Kitsch | Plakate mit Text | starke Marken/Logos	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	city_festival	Stadtfest & Innenstadtleben	02	city-festival-02	/assets/event-visuals/city-festival-02.webp	planned	eigene Bocholt-Fotos | cleared local photos | Wikimedia/Commons nur mit sauberer Lizenz	owned_or_cleared_required_before_ready	Bocholter Innenstadt, Plätze, Fußgängerzone, Stadtaktionen, Feste	offen, freundlich, städtisch, einladend, lokal	Platz- oder Straßenraum mit Ständen, Dekoration oder Veranstaltungsvorbereitung.	Stadt-/Eventgefühl | breite Szene | nicht zu leer	generische Großstadt-Skyline | Kirmes-Kitsch | Plakate mit Text | starke Marken/Logos	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	city_walk	Stadt, Tour & Route	01	city-walk-01	/assets/event-visuals/city-walk-01.webp	planned	eigene Ortsbilder | Wikimedia/Commons mit sauberer Lizenz | cleared Architektur-/Routenbilder	owned_or_cleared_required_before_ready	Bocholt, Borken, Region, Stadtführung, Rundgang, Route, Türme, Promenade	entdeckend, lokal, orientierend, ruhig hochwertig	Stadtstraße oder Fußgängerzone mit klarer Perspektive und lokaler Atmosphäre.	Stadt-/Routenbezug | Orientierung | lokale oder regionale Wiedererkennbarkeit	beliebige Altstadtbilder ohne Bezug | Google-Streetview-Look | Schilder mit fremden Marken | zu touristische Postkartenoptik	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	city_walk	Stadt, Tour & Route	02	city-walk-02	/assets/event-visuals/city-walk-02.webp	planned	eigene Ortsbilder | Wikimedia/Commons mit sauberer Lizenz | cleared Architektur-/Routenbilder	owned_or_cleared_required_before_ready	Bocholt, Borken, Region, Stadtführung, Rundgang, Route, Türme, Promenade	entdeckend, lokal, orientierend, ruhig hochwertig	Kirche, Turm oder Architekturdetail als hochwertiger Orientierungspunkt.	Stadt-/Routenbezug | Orientierung | lokale oder regionale Wiedererkennbarkeit	beliebige Altstadtbilder ohne Bezug | Google-Streetview-Look | Schilder mit fremden Marken | zu touristische Postkartenoptik	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	creative_workshop	Kreativ- & Mitmachworkshop	01	creative-workshop-01	/assets/event-visuals/creative-workshop-01.webp	planned	eigene Detailfotos | cleared Workshop-Materialbilder | generische Material-/Handwerksbilder	owned_or_cleared_required_before_ready	Kulturrucksack, Basteln, Zeichnen, Bauen, Kurse, junge Workshops	handgemacht, aktiv, konzentriert, kreativ, hochwertig	Kreativtisch mit Stiften, Papier und Materialien, hochwertig und nicht chaotisch.	Materialien/Hände/Werkzeuge | Mitmachcharakter | keine Gesichter nötig	erkennbare Kinder | billige Bastelcliparts | chaotische Tischbilder | urheberrechtlich geschützte Figuren im Fokus	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	creative_workshop	Kreativ- & Mitmachworkshop	02	creative-workshop-02	/assets/event-visuals/creative-workshop-02.webp	planned	eigene Detailfotos | cleared Workshop-Materialbilder | generische Material-/Handwerksbilder	owned_or_cleared_required_before_ready	Kulturrucksack, Basteln, Zeichnen, Bauen, Kurse, junge Workshops	handgemacht, aktiv, konzentriert, kreativ, hochwertig	Hände beim Basteln, Malen oder Bauen, ohne erkennbare Personen.	Materialien/Hände/Werkzeuge | Mitmachcharakter | keine Gesichter nötig	erkennbare Kinder | billige Bastelcliparts | chaotische Tischbilder | urheberrechtlich geschützte Figuren im Fokus	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	creative_workshop	Kreativ- & Mitmachworkshop	03	creative-workshop-03	/assets/event-visuals/creative-workshop-03.webp	planned	eigene Detailfotos | cleared Workshop-Materialbilder | generische Material-/Handwerksbilder	owned_or_cleared_required_before_ready	Kulturrucksack, Basteln, Zeichnen, Bauen, Kurse, junge Workshops	handgemacht, aktiv, konzentriert, kreativ, hochwertig	Natur-/Bau-Workshop-Motiv mit Holz, Werkzeug oder Nistkasten-Material.	Materialien/Hände/Werkzeuge | Mitmachcharakter | keine Gesichter nötig	erkennbare Kinder | billige Bastelcliparts | chaotische Tischbilder | urheberrechtlich geschützte Figuren im Fokus	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	kids_family	Kinder & Familie	01	kids-family-01	/assets/event-visuals/kids-family-01.webp	planned	eigene/cleared Detailbilder | generische Bilder ohne erkennbare Kinder | Material-/Aktivitätsmotive	owned_or_cleared_required_before_ready	Familienangebote, Kinderaktionen, Jugend, Mitmachformate	freundlich, hell, sicher, aktivierend, aber nicht kitschig	Familien-/Kinderangebot als Material- oder Aktivitätsdetail ohne erkennbare Gesichter.	familienfreundliche Stimmung | keine identifizierbaren Kinder | klare Aktivität	erkennbare Kindergesichter | Stockfoto-Familienklischees | zu bunte Kindergartenoptik | Chaosbilder	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	kids_family	Kinder & Familie	02	kids-family-02	/assets/event-visuals/kids-family-02.webp	planned	eigene/cleared Detailbilder | generische Bilder ohne erkennbare Kinder | Material-/Aktivitätsmotive	owned_or_cleared_required_before_ready	Familienangebote, Kinderaktionen, Jugend, Mitmachformate	freundlich, hell, sicher, aktivierend, aber nicht kitschig	Spiel-/Mitmachfläche mit Händen, Materialien oder bunten Objekten, ruhig komponiert.	familienfreundliche Stimmung | keine identifizierbaren Kinder | klare Aktivität	erkennbare Kindergesichter | Stockfoto-Familienklischees | zu bunte Kindergartenoptik | Chaosbilder	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	market_food	Markt, Food & Genuss	01	market-food-01	/assets/event-visuals/market-food-01.webp	planned	eigene Fotos | cleared local photos | hochwertige generische Stockbilder ohne erkennbare Personen/Logos	owned_or_cleared_required_before_ready	Innenstadt, Marktstände, Foodtruck-/Festivalstimmung, Wochenmarkt, Stadtleben	warm, lebendig, appetitlich, lokal, aber nicht billig oder überladen	Urbaner Streetfood-/Foodtruck-Moment mit warmem Licht und wenig sichtbaren Personen.	Essens-/Marktbezug | klare Atmosphäre | funktioniert als breites Card-Bild	beliebige Restaurant-Teller | Fast-Food-Clichés | erkennbare Marken | Alkohol-Fokus | überfüllte Menschenmengen	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
1	Basis: zuerst beschaffen, damit Today/Eventkarten schnell hochwertig wirken	high	market_food	Markt, Food & Genuss	02	market-food-02	/assets/event-visuals/market-food-02.webp	planned	eigene Fotos | cleared local photos | hochwertige generische Stockbilder ohne erkennbare Personen/Logos	owned_or_cleared_required_before_ready	Innenstadt, Marktstände, Foodtruck-/Festivalstimmung, Wochenmarkt, Stadtleben	warm, lebendig, appetitlich, lokal, aber nicht billig oder überladen	Wochenmarkt-/Marktstand mit Obst, Gemüse oder regionalen Produkten, hochwertig und ruhig.	Essens-/Marktbezug | klare Atmosphäre | funktioniert als breites Card-Bild	beliebige Restaurant-Teller | Fast-Food-Clichés | erkennbare Marken | Alkohol-Fokus | überfüllte Menschenmengen	Zuerst befüllen. Nur starke, sofort nutzbare Premium-Assets akzeptieren.
